Fecha,Ventas,Precio_Unitario,Promo,dia_semana,mes
2023-01-03,1150338303,15136030.31,1.0,1,1
2023-01-04,572420892,15063707.67,1.0,2,1
2023-01-05,373414154,15558923.09,0.0,3,1
2023-01-06,1669568306,15177893.69,1.0,4,1
2023-01-07,0,15179816.58,0.0,5,1
2023-01-08,0,15181739.48,0.0,6,1
2023-01-09,0,15183662.37,0.0,0,1
2023-01-10,2201909864,15185585.27,0.0,1,1
2023-01-11,1281553843,15440407.74,0.0,2,1
2023-01-12,615779409,15789215.62,0.0,3,1
2023-01-13,469333805,15644460.16,0.0,4,1
2023-01-14,35394706,17697352.83,0.0,5,1
2023-01-15,0,16506664.76,0.0,6,1
2023-01-16,1929813063,15315976.69,0.0,0,1
2023-01-17,666222037,15493535.74,0.0,1,1
2023-01-18,1402869193,15416144.98,0.0,2,1
2023-01-19,3882387888,15165577.69,1.0,3,1
2023-01-20,1915030582,15569354.32,0.0,4,1
2023-01-21,1367640481,15541369.1,0.0,5,1
2023-01-22,0,15543359.9,0.0,6,1
2023-01-23,2331802606,15545350.71,0.0,0,1
2023-01-24,3747685177,15296674.19,0.0,1,1
2023-01-25,2797243651,15285484.43,0.0,2,1
2023-01-26,441902909,16366774.39,0.0,3,1
2023-01-27,1471092481,15649920.01,0.0,4,1
2023-01-28,2888312020,15201642.21,0.0,5,1
2023-01-29,0,15440566.08,0.0,6,1
2023-01-30,1520910525,15679489.94,0.0,0,1
2023-01-31,6064815114,15353962.31,0.0,1,1
2023-02-01,0,15437691.37,0.0,2,2
2023-02-02,620856817,15521420.42,0.0,3,2
2023-02-03,302846805,16824822.48,0.0,4,2
2023-02-04,431740621,15419307.88,0.0,5,2
2023-02-05,0,15474017.54,0.0,6,2
2023-02-06,962781086,15528727.2,0.0,0,2
2023-02-07,1103775327,15330212.87,1.0,1,2
2023-02-08,3566549197,15439606.91,0.0,2,2
2023-02-09,1552017852,16000184.04,0.0,3,2
2023-02-10,2567509068,15560661.02,0.0,4,2
2023-02-11,17925705,17925705.46,0.0,5,2
2023-02-12,0,16862944.03,0.0,6,2
2023-02-13,2607030128,15800182.59,0.0,0,2
2023-02-14,2304807869,15468509.19,0.0,1,2
2023-02-15,610235830,16950995.29,0.0,2,2
2023-02-16,2655071021,15618064.83,0.0,3,2
2023-02-17,2000693136,15509249.12,0.0,4,2
2023-02-18,2018718736,15410066.68,0.0,5,2
2023-02-19,0,15467678.71,0.0,6,2
2023-02-20,3415563964,15525290.74,0.0,0,2
2023-02-21,1687003549,15620403.23,0.0,1,2
2023-02-22,0,15613006.6,0.0,2,2
2023-02-23,1326476847,15605609.96,0.0,3,2
2023-02-24,2396766732,15463011.18,0.0,4,2
2023-02-25,3106883302,15534416.51,0.0,5,2
2023-02-26,0,15650645.9,0.0,6,2
2023-02-27,1277116899,15766875.3,0.0,0,2
2023-02-28,3702385497,15426606.24,0.0,1,2
2023-03-01,0,15474405.22,0.0,2,3
2023-03-02,403577309,15522204.2,1.0,3,3
2023-03-03,318561506,15169595.51,1.0,4,3
2023-03-04,18154059,18154059.45,0.0,5,3
2023-03-05,0,16855025.17,0.0,6,3
2023-03-06,1042251390,15555990.89,1.0,0,3
2023-03-07,1583711587,15997086.74,0.0,1,3
2023-03-08,1721771488,15652468.07,0.0,2,3
2023-03-09,724800825,16106685.0,0.0,3,3
2023-03-10,572130275,15892507.64,0.0,4,3
2023-03-11,302809712,15937353.27,0.0,5,3
2023-03-12,0,16233169.52,0.0,6,3
2023-03-13,82644929,16528985.77,0.0,0,3
2023-03-14,1510915559,15738703.74,0.0,1,3
2023-03-15,421077702,16195296.23,0.0,2,3
2023-03-16,415628630,15985716.55,0.0,3,3
2023-03-17,98395002,16399167.06,0.0,4,3
2023-03-18,18154059,18154059.45,0.0,5,3
2023-03-19,0,17306468.23,0.0,6,3
2023-03-20,0,16458877.0,0.0,0,3
2023-03-21,249780572,15611285.77,1.0,1,3
2023-03-22,214621397,15330099.81,1.0,2,3
2023-03-23,103431327,17238554.48,0.0,3,3
2023-03-24,1287622483,15702713.21,0.0,4,3
2023-03-25,36308119,18154059.45,0.0,5,3
2023-03-26,0,16902619.8,0.0,6,3
2023-03-27,1909443977,15651180.14,0.0,0,3
2023-03-28,1985252447,15631909.03,0.0,1,3
2023-03-29,2714007298,15871387.71,0.0,2,3
2023-03-30,3015495322,15871028.01,0.0,3,3
2023-03-31,3366045120,15729182.81,0.0,4,3
2023-04-01,0,15660028.83,0.0,5,4
2023-04-02,0,15590874.85,0.0,6,4
2023-04-03,217304092,15521720.87,1.0,0,4
2023-04-04,80240943,16048188.58,0.0,1,4
2023-04-05,49197501,16399167.06,0.0,2,4
2023-04-06,0,16224127.53,0.0,3,4
2023-04-07,0,16049088.01,0.0,4,4
2023-04-08,0,15874048.48,0.0,5,4
2023-04-09,0,15699008.96,0.0,6,4
2023-04-10,1288489463,15523969.43,1.0,0,4
2023-04-11,2470959218,15540624.01,1.0,1,4
